mode,model_key,condition,answer_request_id,sample_id,domain,difficulty,atom_count,over_budget,under_budget,total_budget,sample_any_opb,sample_any_upb,sample_any_error,sample_exact,severe_two_step,scs_rho_0_25,scs_rho_0_5,scs_rho_0_75
nonthinking,codex-gpt56-sol,full_memory,answer:codex-gpt56-sol:full_memory:crk2_v2_raw_00690e94b3d7deb1,crk2_v2_raw_00690e94b3d7deb1,health_seed,level_3,21,0,2,2,0,1,1,0,0,0.0625,0.25,0.5625
nonthinking,codex-gpt56-sol,full_memory,answer:codex-gpt56-sol:full_memory:crk2_v2_raw_006b162f97e0c535,crk2_v2_raw_006b162f97e0c535,health_seed,level_3,15,0,1,1,0,1,1,0,0,0.25,0.5,0.75
nonthinking,codex-gpt56-sol,full_memory,answer:codex-gpt56-sol:full_memory:crk2_v2_raw_00f51282931e4020,crk2_v2_raw_00f51282931e4020,health_seed,level_3,21,1,0,1,1,0,1,0,0,0.25,0.5,0.75
nonthinking,codex-gpt56-sol,full_memory,answer:codex-gpt56-sol:full_memory:crk2_v2_raw_01ae41123f37a101,crk2_v2_raw_01ae41123f37a101,health_seed,level_1,7,0,1,1,0,1,1,0,0,0.25,0.5,0.75
nonthinking,codex-gpt56-sol,full_memory,answer:codex-gpt56-sol:full_memory:crk2_v2_raw_02768ca896c42fb3,crk2_v2_raw_02768ca896c42fb3,health_seed,level_2,22,0,3,3,0,1,1,0,1,0.015625,0.125,0.421875
nonthinking,codex-gpt56-sol,full_memory,answer:codex-gpt56-sol:full_memory:crk2_v2_raw_02db8c3fa6424054,crk2_v2_raw_02db8c3fa6424054,health_seed,level_2,9,0,1,1,0,1,1,0,0,0.25,0.5,0.75
nonthinking,codex-gpt56-sol,full_memory,answer:codex-gpt56-sol:full_memory:crk2_v2_raw_02df9f086b8f265d,crk2_v2_raw_02df9f086b8f265d,health_seed,level_2,25,0,1,1,0,1,1,0,0,0.25,0.5,0.75
nonthinking,codex-gpt56-sol,full_memory,answer:codex-gpt56-sol:full_memory:crk2_v2_raw_03072a7c71d8b13f,crk2_v2_raw_03072a7c71d8b13f,health_seed,level_2,18,1,2,3,1,1,1,0,1,0.015625,0.125,0.421875
nonthinking,codex-gpt56-sol,full_memory,answer:codex-gpt56-sol:full_memory:crk2_v2_raw_071db05785eb62c6,crk2_v2_raw_071db05785eb62c6,health_seed,level_2,38,2,0,2,1,0,1,0,1,0.0625,0.25,0.5625
nonthinking,codex-gpt56-sol,full_memory,answer:codex-gpt56-sol:full_memory:crk2_v2_raw_0b776022864ac16a,crk2_v2_raw_0b776022864ac16a,health_seed,level_3,26,0,0,0,0,0,0,1,0,1.0,1.0,1.0
nonthinking,codex-gpt56-sol,full_memory,answer:codex-gpt56-sol:full_memory:crk2_v2_raw_0bb5bbf55420d022,crk2_v2_raw_0bb5bbf55420d022,health_seed,level_3,11,0,1,1,0,1,1,0,0,0.25,0.5,0.75
nonthinking,codex-gpt56-sol,full_memory,answer:codex-gpt56-sol:full_memory:crk2_v2_raw_0c3ad3cfc829591c,crk2_v2_raw_0c3ad3cfc829591c,health_seed,level_3,24,0,3,3,0,1,1,0,0,0.015625,0.125,0.421875
nonthinking,codex-gpt56-sol,full_memory,answer:codex-gpt56-sol:full_memory:crk2_v2_raw_0cad66a04dc96500,crk2_v2_raw_0cad66a04dc96500,health_seed,level_2,14,4,2,6,1,1,1,0,0,0.000244140625,0.015625,0.177978515625
nonthinking,codex-gpt56-sol,full_memory,answer:codex-gpt56-sol:full_memory:crk2_v2_raw_0d6fab22e6a492b6,crk2_v2_raw_0d6fab22e6a492b6,health_seed,level_1,8,0,0,0,0,0,0,1,0,1.0,1.0,1.0
nonthinking,codex-gpt56-sol,full_memory,answer:codex-gpt56-sol:full_memory:crk2_v2_raw_0d9b0d4e02b6df17,crk2_v2_raw_0d9b0d4e02b6df17,health_seed,level_2,16,2,3,5,1,1,1,0,1,0.0009765625,0.03125,0.2373046875
nonthinking,codex-gpt56-sol,full_memory,answer:codex-gpt56-sol:full_memory:crk2_v2_raw_0dc8a4f80beb6425,crk2_v2_raw_0dc8a4f80beb6425,health_seed,level_1,7,0,1,1,0,1,1,0,0,0.25,0.5,0.75
