model,condition,metric,mean,population_sd,minimum,maximum
codex-gpt56-sol,full_memory,memcalib_score,0.8041046594695606,0.003791712489441468,0.7992777754722172,0.8085408517150553
codex-gpt56-sol,full_memory,memcalib_h_score,0.8363242160513488,0.003788757896387354,0.8314842736420628,0.8407349779788585
codex-gpt56-sol,full_memory,opb_error_rate,0.027422490896878426,0.00032590311193861707,0.026977056598437445,0.027747728638597233
codex-gpt56-sol,full_memory,upb_error_rate,0.2664205198987808,0.006007868805347696,0.2594409937888199,0.2741062801932367
codex-gpt56-sol,full_memory,strict_sample_accuracy,0.300944669365722,0.011005065067678864,0.2894736842105263,0.3157894736842105
codex-gpt56-sol,full_memory,mean_task_quality,3.760458839406208,0.007634081308356651,3.7550607287449393,3.7712550607287447
codex-gpt56-sol,full_memory,safety_failure_rate,0.0020242914979757085,0.001652827086898231,0.0,0.004048582995951417
codex-gpt56-sol,full_memory,contradiction_rate,0.00033585222502099076,5.937084644723321e-05,0.00025188916876574307,0.0003778337531486146
codex-gpt56-sol,full_memory,constraint_violation_rate,0.0,0.0,0.0,0.0
codex-gpt56-sol,full_memory,scs_0_5,0.4879708849949393,0.007770435948293729,0.48194743168016196,0.49894238676619435
codex-gpt56-sol,full_memory,sample_directional_opb_0_5,0.294840165317139,0.005870262295926586,0.2875205592105263,0.30189223810728744
codex-gpt56-sol,full_memory,sample_directional_upb_0_5,0.28447621457489874,0.007177051924940698,0.2747343117408907,0.2918142712550607
codex-gpt56-sol,full_memory,sample_directional_h_0_5,0.7102949630522918,0.006038924746413961,0.7055340032726307,0.7188157087850329
codex-gpt56-sol,full_memory,sample_any_opb_rate,0.4217273954116059,0.004771300817723012,0.4149797570850202,0.4251012145748988
codex-gpt56-sol,full_memory,sample_any_upb_rate,0.4385964912280702,0.015357363936222728,0.41700404858299595,0.451417004048583
codex-gpt56-sol,full_memory,sample_event_h,0.5696614464253483,0.010179974958281046,0.5614326877484773,0.584006343013914
codex-gpt56-sol,full_memory,sample_exact_accuracy,0.300944669365722,0.011005065067678864,0.2894736842105263,0.3157894736842105
codex-gpt56-sol,no_memory,memcalib_score,0.42482795650995514,0.004320478223041515,0.4187218074774965,0.42807078378299446
codex-gpt56-sol,no_memory,memcalib_h_score,0.24383780408365144,0.010296303579513798,0.22933627775922663,0.2522287873118044
codex-gpt56-sol,no_memory,opb_error_rate,0.0016768598060357524,0.00041359322200016426,0.001313324141831937,0.0022554530349630573
codex-gpt56-sol,no_memory,upb_error_rate,0.8610812054290315,0.006657273344970975,0.8556383712905452,0.870455486542443
codex-gpt56-sol,no_memory,strict_sample_accuracy,0.07422402159244264,0.007453010133054834,0.06477732793522267,0.08299595141700405
codex-gpt56-sol,no_memory,mean_task_quality,3.2199730094466936,0.004159523618737559,3.214574898785425,3.2246963562753037
codex-gpt56-sol,no_memory,safety_failure_rate,0.006747638326585695,0.004159523618737501,0.0020242914979757085,0.012145748987854251
codex-gpt56-sol,no_memory,contradiction_rate,0.0006297229219143577,0.00035622507868339926,0.0003778337531486146,0.0011335012594458438
codex-gpt56-sol,no_memory,constraint_violation_rate,0.00020990764063811922,5.937084644723321e-05,0.00012594458438287153,0.00025188916876574307
codex-gpt56-sol,no_memory,scs_0_5,0.21553432860998653,0.003497356948788102,0.21200499746963564,0.22029984817813766
codex-gpt56-sol,no_memory,sample_directional_opb_0_5,0.01071187584345479,0.001781267888153076,0.008350202429149798,0.012651821862348178
codex-gpt56-sol,no_memory,sample_directional_upb_0_5,0.7816611842105262,0.004316019531331913,0.7759678643724697,0.7864135247975709
codex-gpt56-sol,no_memory,sample_directional_h_0_5,0.3577036568475353,0.005727956464165198,0.35129607663615353,0.3651994645159919
codex-gpt56-sol,no_memory,sample_any_opb_rate,0.018893387314439947,0.0034406339497927018,0.01417004048582996,0.022267206477732792
codex-gpt56-sol,no_memory,sample_any_upb_rate,0.9251012145748988,0.006611308347592895,0.917004048582996,0.9331983805668016
codex-gpt56-sol,no_memory,sample_event_h,0.1390959714009762,0.011381811753589929,0.12512457178449085,0.15300398677256843
codex-gpt56-sol,no_memory,sample_exact_accuracy,0.07422402159244264,0.007453010133054834,0.06477732793522267,0.08299595141700405
deepseek,full_memory,memcalib_score,0.82802328582,0.010634615383132855,0.8157173546715524,0.8416639486669505
deepseek,full_memory,memcalib_h_score,0.8668774963186464,0.008901282119629164,0.8565265977942184,0.8782572513327226
deepseek,full_memory,opb_error_rate,0.0693522348310767,0.0014430504863975676,0.06741435995333546,0.07087531374836498
deepseek,full_memory,upb_error_rate,0.18861283643892338,0.014519497272080127,0.1700897170462388,0.2055486542443064
deepseek,full_memory,strict_sample_accuracy,0.15317139001349528,0.01062619146290393,0.1437246963562753,0.1680161943319838
deepseek,full_memory,mean_task_quality,3.644399460188934,0.025835613655973828,3.6153846153846154,3.6781376518218623
deepseek,full_memory,safety_failure_rate,0.01214574898785425,0.002862780490633796,0.008097165991902834,0.01417004048582996
deepseek,full_memory,contradiction_rate,0.00016792611251049538,5.937084644723321e-05,0.00012594458438287153,0.00025188916876574307
deepseek,full_memory,constraint_violation_rate,0.0,0.0,0.0,0.0
deepseek,full_memory,scs_0_5,0.3123578523334704,0.013216757243129084,0.29618563632733425,0.3285599063765182
deepseek,full_memory,sample_directional_opb_0_5,0.5939020319023595,0.006353496364395488,0.5874646144357287,0.6025493791711475
deepseek,full_memory,sample_directional_upb_0_5,0.20863908569500675,0.015227461742376538,0.19022014170040485,0.2275113866396761
deepseek,full_memory,sample_directional_h_0_5,0.5367500125225858,0.00899466727880677,0.5248581635542189,0.5466066920834544
deepseek,full_memory,sample_any_opb_rate,0.7564102564102564,0.0009542601635446337,0.7550607287449392,0.757085020242915
deepseek,full_memory,sample_any_upb_rate,0.3326585695006748,0.02066584727545688,0.3076923076923077,0.3582995951417004
deepseek,full_memory,sample_event_h,0.3568502357386336,0.0038723457153074397,0.3524212749793865,0.36185412859278954
deepseek,full_memory,sample_exact_accuracy,0.15317139001349528,0.01062619146290393,0.1437246963562753,0.1680161943319838
deepseek,no_memory,memcalib_score,0.4271548990002236,0.003658550036926591,0.42225948008072534,0.4310530007382917
deepseek,no_memory,memcalib_h_score,0.2511434496735439,0.006667583081066532,0.24258042939074,0.2588441715576731
deepseek,no_memory,opb_error_rate,0.0029483508325379147,0.0012638326780859712,0.001981475589493407,0.004733623219146605
deepseek,no_memory,upb_error_rate,0.8563193006671268,0.004338129094316557,0.8512905452035887,0.8618771566597654
deepseek,no_memory,strict_sample_accuracy,0.07557354925775979,0.001908520327089202,0.0728744939271255,0.07692307692307693
deepseek,no_memory,mean_task_quality,3.172739541160594,0.003440633949792655,3.168016194331984,3.1761133603238867
deepseek,no_memory,safety_failure_rate,0.017543859649122806,0.001908520327089197,0.016194331983805668,0.020242914979757085
deepseek,no_memory,contradiction_rate,0.0007976490344248532,0.00023748338578893284,0.0006297229219143577,0.0011335012594458438
deepseek,no_memory,constraint_violation_rate,0.00025188916876574307,0.00017811253934169963,0.0,0.0003778337531486146
deepseek,no_memory,scs_0_5,0.21153846153846154,0.002099745481631204,0.20907135627530365,0.21420325151821862
deepseek,no_memory,sample_directional_opb_0_5,0.025472334682861,0.004215586707017475,0.021002024291497976,0.031123481781376517
deepseek,no_memory,sample_directional_upb_0_5,0.7803907304318489,0.002005717963015212,0.7780316928137652,0.7829342737854251
deepseek,no_memory,sample_directional_h_0_5,0.3584363971786688,0.0025805818310544377,0.35534379350880396,0.3616607799967502
deepseek,no_memory,sample_any_opb_rate,0.0398110661268556,0.00667982114481219,0.032388663967611336,0.048582995951417005
deepseek,no_memory,sample_any_upb_rate,0.9176788124156546,0.004159523618737516,0.9129554655870445,0.9230769230769231
deepseek,no_memory,sample_event_h,0.15160527658648723,0.006983733753043124,0.14251639833035176,0.15949680769625366
deepseek,no_memory,sample_exact_accuracy,0.07557354925775979,0.001908520327089202,0.0728744939271255,0.07692307692307693
deepseek-flash,full_memory,memcalib_score,0.7935480783665154,0.0042510683053287495,0.7883398273288851,0.7987527737174295
deepseek-flash,full_memory,memcalib_h_score,0.833712258590319,0.004362696274283574,0.8283547985536476,0.8390410630678111
deepseek-flash,full_memory,opb_error_rate,0.056611399818526774,0.0016786237832969438,0.0545710043482872,0.05868243362675434
deepseek-flash,full_memory,upb_error_rate,0.2530664826317,0.00805510519056838,0.24318840579710144,0.2629192546583851
deepseek-flash,full_memory,strict_sample_accuracy,0.15924426450742238,0.005313095731451967,0.15182186234817813,0.16396761133603238
deepseek-flash,full_memory,mean_task_quality,3.543184885290149,0.006881267899585455,3.5364372469635628,3.5526315789473686
deepseek-flash,full_memory,safety_failure_rate,0.016869095816464237,0.0009542601635445977,0.016194331983805668,0.018218623481781375
deepseek-flash,full_memory,contradiction_rate,0.00016792611251049538,5.937084644723321e-05,0.00012594458438287153,0.00025188916876574307
deepseek-flash,full_memory,constraint_violation_rate,0.0,0.0,0.0,0.0
deepseek-flash,full_memory,scs_0_5,0.33596690560159415,0.0036793846922091055,0.3308772654668522,0.339448998331541
deepseek-flash,full_memory,sample_directional_opb_0_5,0.5084997838647098,0.009561625003266051,0.4968349441342991,0.5202555173804403
deepseek-flash,full_memory,sample_directional_upb_0_5,0.2700109649122807,0.005558248679417139,0.26246204453441296,0.2756831983805668
deepseek-flash,full_memory,sample_directional_h_0_5,0.5873720591521717,0.0057378808675595675,0.5813437437144331,0.5950904144660407
