mode,model_key,condition,answer_request_id,sample_id,domain,difficulty,atom_count,over_budget,under_budget,total_budget,sample_any_opb,sample_any_upb,sample_any_error,sample_exact,severe_two_step,scs_rho_0_25,scs_rho_0_5,scs_rho_0_75
nonthinking,ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,answer:ministral3-8b-instruct-2512-bf16-local-vllm:full_memory:crk2_v2_raw_0016b678bd2a3727,crk2_v2_raw_0016b678bd2a3727,health_seed,level_2,15,2,0,2,1,0,1,0,1,0.0625,0.25,0.5625
nonthinking,ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,answer:ministral3-8b-instruct-2512-bf16-local-vllm:full_memory:crk2_v2_raw_0066f1fd6e5f35bd,crk2_v2_raw_0066f1fd6e5f35bd,health_seed,level_2,17,7,0,7,1,0,1,0,1,6.103515625e-05,0.0078125,0.13348388671875
nonthinking,ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,answer:ministral3-8b-instruct-2512-bf16-local-vllm:full_memory:crk2_v2_raw_00690e94b3d7deb1,crk2_v2_raw_00690e94b3d7deb1,health_seed,level_3,21,1,1,2,1,1,1,0,0,0.0625,0.25,0.5625
nonthinking,ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,answer:ministral3-8b-instruct-2512-bf16-local-vllm:full_memory:crk2_v2_raw_006b162f97e0c535,crk2_v2_raw_006b162f97e0c535,health_seed,level_3,15,2,0,2,1,0,1,0,0,0.0625,0.25,0.5625
nonthinking,ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,answer:ministral3-8b-instruct-2512-bf16-local-vllm:full_memory:crk2_v2_raw_00a4fc5e28478699,crk2_v2_raw_00a4fc5e28478699,health_seed,level_2,9,0,1,1,0,1,1,0,0,0.25,0.5,0.75
nonthinking,ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,answer:ministral3-8b-instruct-2512-bf16-local-vllm:full_memory:crk2_v2_raw_00e63b9379a95d56,crk2_v2_raw_00e63b9379a95d56,health_seed,level_3,18,5,0,5,1,0,1,0,1,0.0009765625,0.03125,0.2373046875
nonthinking,ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,answer:ministral3-8b-instruct-2512-bf16-local-vllm:full_memory:crk2_v2_raw_00f51282931e4020,crk2_v2_raw_00f51282931e4020,health_seed,level_3,21,0,0,0,0,0,0,1,0,1.0,1.0,1.0
nonthinking,ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,answer:ministral3-8b-instruct-2512-bf16-local-vllm:full_memory:crk2_v2_raw_01ae41123f37a101,crk2_v2_raw_01ae41123f37a101,health_seed,level_1,7,2,0,2,1,0,1,0,0,0.0625,0.25,0.5625
nonthinking,ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,answer:ministral3-8b-instruct-2512-bf16-local-vllm:full_memory:crk2_v2_raw_01e97743fc2e074a,crk2_v2_raw_01e97743fc2e074a,health_seed,level_3,11,0,2,2,0,1,1,0,0,0.0625,0.25,0.5625
nonthinking,ministral3-8b-instruct-2512-bf16-local-vllm,full_memory,answer:ministral3-8b-instruct-2512-bf16-local-vllm:full_memory:crk2_v2_raw_02768ca896c42fb3,crk2_v2_raw_02768ca896c42fb3,health_seed,level_2,22,4,0,4,1,0,1,0,0,0.00390625,0.0625,0.31640625
